FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,154.10000610351562,152.77999877929688,3061900,153.5,153.83999633789062,139.22401428222656
03:January:2018,1514989800,154.99000549316406,152.99000549316406,2064200,152.99000549316406,154.5500030517578,139.86654663085938
04:January:2018,1515076200,156.86000061035156,154.77000427246094,1777000,155.0,156.3800048828125,141.52272033691406
05:January:2018,1515162600,157.72000122070312,156.1300048828125,1597600,156.61000061035156,157.6699981689453,142.6901397705078
08:January:2018,1515421800,159.00999450683594,156.83999633789062,2616900,157.3699951171875,158.92999267578125,143.83041381835938
09:January:2018,1515508200,159.49000549316406,157.4499969482422,3204700,158.5,159.4600067138672,144.31007385253906
10:January:2018,1515594600,159.14999389648438,157.72999572753906,1624100,158.9499969482422,158.89999389648438,143.80328369140625
11:January:2018,1515681000,159.39999389648438,158.0500030517578,1809200,158.89999389648438,159.11000061035156,143.9933319091797
12:January:2018,1515767400,160.63999938964844,158.57000732421875,2048800,159.5,160.11000061035156,144.89830017089844
16:January:2018,1516113000,160.3699951171875,157.91000366210938,2858700,160.25,157.9600067138672,142.9525604248047
17:January:2018,1516199400,160.47000122070312,158.80999755859375,2143100,159.10000610351562,160.2100067138672,144.98880004882812
18:January:2018,1516285800,161.0800018310547,159.82000732421875,1715500,160.1300048828125,160.94000244140625,145.6494598388672
19:January:2018,1516372200,162.5,160.1999969482422,2246700,161.60000610351562,161.75,146.38247680664062
22:January:2018,1516631400,161.8800048828125,160.82000732421875,1720000,161.2100067138672,161.42999267578125,146.09288024902344
23:January:2018,1516717800,162.0500030517578,160.63999938964844,1635800,161.2899932861328,160.8800048828125,145.59519958496094
24:January:2018,1516804200,161.99000549316406,160.5399932861328,1951900,161.1999969482422,160.60000610351562,145.34178161621094
25:January:2018,1516890600,161.75,160.6199951171875,1327100,161.1199951171875,160.7899932861328,145.5137176513672
26:January:2018,1516977000,162.5800018310547,160.3300018310547,1950700,161.25,162.5500030517578,147.10650634765625
29:January:2018,1517236200,162.60000610351562,160.97000122070312,1314800,162.3300018310547,161.19000244140625,145.875732421875
30:January:2018,1517322600,161.16000366210938,159.11000061035156,1700000,160.9600067138672,159.6999969482422,144.5272979736328
31:January:2018,1517409000,160.9499969482422,159.72999572753906,1878300,160.08999633789062,160.6999969482422,145.43223571777344
01:February:2018,1517495400,161.1300048828125,159.5399932861328,1692600,160.16000366210938,160.4600067138672,145.21507263183594
02:February:2018,1517581800,160.27000427246094,156.6300048828125,2183600,159.97999572753906,156.89999389648438,141.9932861328125
05:February:2018,1517841000,159.27000427246094,150.72999572753906,3733700,156.1199951171875,151.8300018310547,137.40499877929688
06:February:2018,1517927400,155.17999267578125,149.42999267578125,4259600,150.2899932861328,154.69000244140625,139.9932861328125
07:February:2018,1518013800,158.92999267578125,153.07000732421875,2918700,154.22000122070312,155.14999389648438,140.40956115722656
08:February:2018,1518100200,155.47000122070312,150.3699951171875,2900900,155.30999755859375,150.50999450683594,136.2104034423828
09:February:2018,1518186600,154.99000549316406,148.7899932861328,3656800,151.69000244140625,153.83999633789062,139.22401428222656
12:February:2018,1518445800,156.47000122070312,153.89999389648438,2273700,154.6699981689453,154.9499969482422,140.2285614013672
13:February:2018,1518532200,156.99000549316406,153.99000549316406,2059500,154.1999969482422,156.83999633789062,141.93899536132812
14:February:2018,1518618600,160.1199951171875,155.14999389648438,2583200,156.00999450683594,159.7899932861328,144.6087188720703
15:February:2018,1518705000,161.11000061035156,158.11000061035156,1854900,160.38999938964844,161.05999755859375,145.758056640625
16:February:2018,1518791400,163.60000610351562,160.85000610351562,1997900,160.9600067138672,162.66000366210938,147.20603942871094
20:February:2018,1519137000,162.72000122070312,161.07000732421875,1425700,162.3800048828125,161.44000244140625,146.1019744873047
21:February:2018,1519223400,163.75999450683594,160.4199981689453,1628600,161.58999633789062,160.4600067138672,145.21507263183594
22:February:2018,1519309800,162.0,159.91000366210938,1511700,161.0800018310547,160.32000732421875,145.08837890625
23:February:2018,1519396200,163.0500030517578,160.32000732421875,1577200,161.10000610351562,162.9499969482422,147.46849060058594
26:February:2018,1519655400,164.8300018310547,162.9199981689453,1782800,163.82000732421875,164.74000549316406,149.08839416503906
27:February:2018,1519741800,165.5800018310547,162.5500030517578,1820800,164.8000030517578,162.5500030517578,147.10650634765625
28:February:2018,1519828200,164.38999938964844,160.9499969482422,2002200,162.89999389648438,161.00999450683594,145.7128143310547
01:March:2018,1519914600,161.58999633789062,155.8800048828125,3005400,161.27999877929688,156.14999389648438,141.31455993652344
02:March:2018,1520001000,157.6300048828125,154.69000244140625,2960100,155.2100067138672,157.5,142.5362548828125
05:March:2018,1520260200,159.66000366210938,156.99000549316406,1936800,157.1699981689453,158.85000610351562,143.75804138183594
06:March:2018,1520346600,160.14999389648438,156.97999572753906,2352500,159.1699981689453,158.02999877929688,143.0159149169922
07:March:2018,1520433000,158.9600067138672,156.52000427246094,3176200,156.97999572753906,158.5500030517578,143.48655700683594
08:March:2018,1520519400,159.4199981689453,158.0399932861328,3093200,159.00999450683594,158.5,143.4412384033203
09:March:2018,1520605800,161.8300018310547,159.2100067138672,2988000,159.64999389648438,161.50999450683594,146.165283203125
12:March:2018,1520861400,162.77000427246094,161.02000427246094,2105000,162.0,161.69000244140625,146.3282012939453
13:March:2018,1520947800,164.3000030517578,162.05999755859375,2742200,162.1199951171875,162.49000549316406,147.05224609375
14:March:2018,1521034200,163.1999969482422,160.4199981689453,2214800,162.75999450683594,161.0,145.70376586914062
15:March:2018,1521120600,163.49000549316406,160.88999938964844,1840300,161.2899932861328,162.86000061035156,147.38702392578125
16:March:2018,1521207000,163.2899932861328,160.8800048828125,4018600,162.61000061035156,160.88999938964844,145.60418701171875
19:March:2018,1521466200,161.5,159.3699951171875,1890000,160.55999755859375,160.6199951171875,145.35986328125
20:March:2018,1521552600,163.14999389648438,160.9499969482422,2249400,160.9499969482422,162.8800048828125,147.40516662597656
21:March:2018,1521639000,163.72000122070312,161.92999267578125,3452600,163.1999969482422,162.02999877929688,146.63589477539062
22:March:2018,1521725400,157.94000244140625,149.72999572753906,8203600,156.75,150.22999572753906,135.95697021484375
23:March:2018,1521811800,152.47000122070312,147.16000366210938,4039800,151.3300018310547,147.35000610351562,133.35064697265625
26:March:2018,1522071000,153.1699981689453,149.0,4231000,149.0,152.85000610351562,138.32806396484375
27:March:2018,1522157400,153.66000366210938,147.8000030517578,3212000,153.22999572753906,148.86000061035156,134.7171630859375
28:March:2018,1522243800,150.35000610351562,147.33999633789062,2965700,149.67999267578125,147.41000366210938,133.40493774414062
29:March:2018,1522330200,153.5,147.82000732421875,3595900,148.2899932861328,153.5,138.9163055419922
02:April:2018,1522675800,151.82000732421875,146.5,2845800,151.82000732421875,147.97999572753906,133.92076110839844
03:April:2018,1522762200,148.97000122070312,146.0500030517578,2363300,148.49000549316406,148.7899932861328,134.65380859375
04:April:2018,1522848600,150.47999572753906,146.05999755859375,2161100,146.69000244140625,149.97000122070312,135.72171020507812
05:April:2018,1522935000,152.07000732421875,150.00999450683594,3336300,151.10000610351562,151.57000732421875,137.16973876953125
06:April:2018,1523021400,150.7899932861328,146.19000244140625,1927200,149.89999389648438,147.3800048828125,133.37777709960938
09:April:2018,1523280600,150.42999267578125,148.00999450683594,1465800,148.25999450683594,148.25,134.16513061523438
10:April:2018,1523367000,152.74000549316406,149.83999633789062,2257400,149.99000549316406,152.0500030517578,137.6040802001953
11:April:2018,1523453400,149.8699951171875,148.16000366210938,1734900,149.39999389648438,148.39999389648438,135.48594665527344
12:April:2018,1523539800,151.1300048828125,148.92999267578125,2005600,149.17999267578125,150.08999633789062,137.02890014648438
13:April:2018,1523626200,151.41000366210938,149.4600067138672,1607800,151.0,150.1300048828125,137.06544494628906
16:April:2018,1523885400,152.0500030517578,150.47999572753906,2151600,151.4499969482422,151.4199981689453,138.24313354492188
17:April:2018,1523971800,154.58999633789062,152.0800018310547,2702300,152.64999389648438,154.24000549316406,140.8177947998047
18:April:2018,1524058200,155.6999969482422,153.33999633789062,1975700,154.35000610351562,155.52000427246094,141.98641967773438
19:April:2018,1524144600,155.2100067138672,153.6199951171875,1512900,155.0,154.58999633789062,141.1373291015625
20:April:2018,1524231000,154.75,151.91000366210938,2302000,154.02000427246094,152.41000366210938,139.14700317382812
23:April:2018,1524490200,153.4600067138672,152.11000061035156,1533000,153.22999572753906,153.0399932861328,139.72213745117188
24:April:2018,1524576600,154.33999633789062,149.85000610351562,1922600,153.57000732421875,151.07000732421875,137.9236297607422
25:April:2018,1524663000,151.5,148.42999267578125,2040200,151.5,150.08999633789062,137.02890014648438
