FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,177.8000030517578,175.25999450683594,2432800,175.85000610351562,177.6999969482422,177.6999969482422
03:January:2018,1514989800,181.88999938964844,177.6999969482422,2561200,178.0,181.0399932861328,181.0399932861328
04:January:2018,1515076200,184.05999755859375,181.63999938964844,2211400,181.92999267578125,183.22000122070312,183.22000122070312
05:January:2018,1515162600,185.89999389648438,183.5399932861328,2376500,185.0,185.33999633789062,185.33999633789062
08:January:2018,1515421800,185.60000610351562,183.8300018310547,2088000,184.9499969482422,185.0399932861328,185.0399932861328
09:January:2018,1515508200,186.97000122070312,183.92999267578125,1804300,185.57000732421875,186.6999969482422,186.6999969482422
10:January:2018,1515594600,187.27000427246094,185.07000732421875,1664300,185.2100067138672,187.11000061035156,187.11000061035156
11:January:2018,1515681000,188.94000244140625,186.19000244140625,1600100,187.2899932861328,188.9199981689453,188.9199981689453
12:January:2018,1515767400,195.5,188.99000549316406,4246000,189.08999633789062,195.0500030517578,195.0500030517578
16:January:2018,1516113000,198.2100067138672,191.7100067138672,4595600,195.9199981689453,192.4600067138672,192.4600067138672
17:January:2018,1516199400,197.1199951171875,192.77000427246094,2969500,194.02000427246094,196.49000549316406,196.49000549316406
18:January:2018,1516285800,196.58999633789062,194.05999755859375,2539400,196.2100067138672,196.1999969482422,196.1999969482422
19:January:2018,1516372200,196.6300048828125,194.64999389648438,2343000,196.24000549316406,195.72999572753906,195.72999572753906
22:January:2018,1516631400,198.0,194.4199981689453,1701300,195.6999969482422,197.83999633789062,197.83999633789062
23:January:2018,1516717800,204.4499969482422,199.44000244140625,3981000,202.2899932861328,200.08999633789062,200.08999633789062
24:January:2018,1516804200,202.3000030517578,196.52000427246094,3250500,201.82000732421875,197.77999877929688,197.77999877929688
25:January:2018,1516890600,199.24000549316406,196.07000732421875,2574200,198.0800018310547,197.50999450683594,197.50999450683594
26:January:2018,1516977000,201.5500030517578,198.25,2338100,198.5,201.3000030517578,201.3000030517578
29:January:2018,1517236200,200.86000061035156,197.8699951171875,1939000,200.11000061035156,198.22999572753906,198.22999572753906
30:January:2018,1517322600,197.72999572753906,194.88999938964844,3343300,197.25,196.89999389648438,196.89999389648438
31:January:2018,1517409000,200.9600067138672,196.75,2747600,197.1300048828125,199.75999450683594,199.75999450683594
01:February:2018,1517495400,201.75,198.0800018310547,2366100,199.1199951171875,199.3800048828125,199.3800048828125
02:February:2018,1517581800,199.39999389648438,195.44000244140625,2813800,197.3300018310547,195.63999938964844,195.63999938964844
05:February:2018,1517841000,198.4600067138672,188.0,3801300,194.05999755859375,190.27000427246094,190.27000427246094
06:February:2018,1517927400,194.82000732421875,182.10000610351562,4480000,186.58999633789062,194.47000122070312,194.47000122070312
07:February:2018,1518013800,196.24000549316406,192.02000427246094,2988000,193.8699951171875,192.33999633789062,192.33999633789062
08:February:2018,1518100200,192.97000122070312,185.02000427246094,3978700,192.83999633789062,185.16000366210938,185.16000366210938
09:February:2018,1518186600,189.7100067138672,179.33999633789062,3818800,187.3300018310547,187.99000549316406,187.99000549316406
12:February:2018,1518445800,192.99000549316406,188.55999755859375,2824700,189.0,192.14999389648438,192.14999389648438
13:February:2018,1518532200,194.30999755859375,190.38999938964844,1961300,190.85000610351562,193.47999572753906,193.47999572753906
14:February:2018,1518618600,197.5,191.9499969482422,2542400,192.47999572753906,197.1300048828125,197.1300048828125
15:February:2018,1518705000,203.27999877929688,197.1300048828125,2233300,198.97000122070312,202.97000122070312,202.97000122070312
16:February:2018,1518791400,203.89999389648438,200.74000549316406,2172600,202.52000427246094,201.55999755859375,201.55999755859375
20:February:2018,1519137000,205.1199951171875,199.17999267578125,2722700,200.4600067138672,202.97999572753906,202.97999572753906
21:February:2018,1519223400,206.8300018310547,202.02000427246094,2043500,204.4499969482422,202.08999633789062,202.08999633789062
22:February:2018,1519309800,204.22000122070312,201.67999267578125,1541500,203.07000732421875,202.61000061035156,202.61000061035156
23:February:2018,1519396200,209.77999877929688,203.30999755859375,2349300,204.22000122070312,209.74000549316406,209.74000549316406
26:February:2018,1519655400,212.35000610351562,209.25999450683594,2418700,211.2899932861328,212.14999389648438,212.14999389648438
27:February:2018,1519741800,212.75999450683594,208.25,2330800,211.99000549316406,208.82000732421875,208.82000732421875
28:February:2018,1519828200,213.44000244140625,209.10000610351562,2356900,210.69000244140625,209.1300048828125,209.1300048828125
01:March:2018,1519914600,210.67999267578125,204.4499969482422,2632200,210.32000732421875,206.02999877929688,206.02999877929688
02:March:2018,1520001000,210.2100067138672,201.75999450683594,2624700,203.9600067138672,209.7899932861328,209.7899932861328
05:March:2018,1520260200,212.0,206.9199981689453,2111800,208.75,211.16000366210938,211.16000366210938
06:March:2018,1520346600,212.74000549316406,209.8800048828125,2169000,212.44000244140625,212.00999450683594,212.00999450683594
