FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,59.657501220703125,56.689998626708984,3488800,58.89500045776367,57.75749969482422,57.75749969482422
03:January:2018,1514989800,58.9375,57.88999938964844,2234400,58.0,58.900001525878906,58.900001525878906
04:January:2018,1515076200,59.45750045776367,57.852500915527344,3348000,59.0625,58.17250061035156,58.17250061035156
05:January:2018,1515162600,59.6150016784668,58.60499954223633,2021600,58.61249923706055,59.192501068115234,59.192501068115234
08:January:2018,1515421800,62.98749923706055,59.627498626708984,5578800,59.810001373291016,62.76499938964844,62.76499938964844
09:January:2018,1515508200,63.08250045776367,61.625,2827200,62.76499938964844,62.494998931884766,62.494998931884766
10:January:2018,1515594600,63.98125076293945,62.349998474121094,2528400,62.53499984741211,63.06999969482422,63.06999969482422
11:January:2018,1515681000,65.45249938964844,63.3650016784668,4338000,63.3650016784668,65.19750213623047,65.19750213623047
12:January:2018,1515767400,65.70999908447266,64.2750015258789,3296400,65.26750183105469,64.75749969482422,64.75749969482422
16:January:2018,1516113000,65.70999908447266,62.5412483215332,3619200,65.4124984741211,63.192501068115234,63.192501068115234
17:January:2018,1516199400,66.15249633789062,63.872501373291016,3676800,63.977500915527344,65.70249938964844,65.70249938964844
18:January:2018,1516285800,67.02999877929688,65.75,2570000,65.87000274658203,66.29750061035156,66.29750061035156
19:January:2018,1516372200,67.96749877929688,66.7750015258789,2726800,66.96749877929688,67.70999908447266,67.70999908447266
22:January:2018,1516631400,68.9625015258789,67.17250061035156,2990400,67.75,68.91999816894531,68.91999816894531
23:January:2018,1516717800,69.05274963378906,67.05000305175781,3768800,67.7300033569336,68.28500366210938,68.28500366210938
24:January:2018,1516804200,69.21749877929688,67.31749725341797,2848400,68.70249938964844,68.28500366210938,68.28500366210938
25:January:2018,1516890600,69.9000015258789,68.62750244140625,2109200,68.9000015258789,69.19000244140625,69.19000244140625
26:January:2018,1516977000,70.875,69.21499633789062,1985200,69.86499786376953,70.875,70.875
29:January:2018,1517236200,71.19000244140625,69.33924865722656,2939600,70.875,69.49749755859375,69.49749755859375
30:January:2018,1517322600,69.1449966430664,63.002498626708984,5438800,68.2699966430664,68.80750274658203,68.80750274658203
31:January:2018,1517409000,69.24974822998047,67.26000213623047,3742400,69.12750244140625,68.95500183105469,68.95500183105469
01:February:2018,1517495400,69.24250030517578,68.27749633789062,3337600,68.30000305175781,68.75,68.75
02:February:2018,1517581800,69.86250305175781,66.77999877929688,3042400,68.0374984741211,68.37000274658203,68.37000274658203
05:February:2018,1517841000,69.97250366210938,65.62750244140625,4866400,66.37750244140625,66.34249877929688,66.34249877929688
06:February:2018,1517927400,68.57749938964844,62.602500915527344,4016800,63.33250045776367,68.09500122070312,68.09500122070312
07:February:2018,1518013800,72.26725006103516,68.76000213623047,4626000,69.49749755859375,70.40499877929688,70.40499877929688
08:February:2018,1518100200,71.28375244140625,66.09500122070312,4611600,71.25250244140625,66.12999725341797,66.12999725341797
09:February:2018,1518186600,68.7352523803711,64.51425170898438,4599200,67.39250183105469,68.13749694824219,68.13749694824219
12:February:2018,1518445800,71.79299926757812,69.4052505493164,5081600,69.5374984741211,71.13500213623047,71.13500213623047
13:February:2018,1518532200,73.18150329589844,71.0199966430664,4068000,71.25,73.1449966430664,73.1449966430664
14:February:2018,1518618600,76.36000061035156,72.73999786376953,5887600,72.75,75.52999877929688,75.52999877929688
15:February:2018,1518705000,77.9175033569336,73.8385009765625,11583200,76.5,76.98999786376953,76.98999786376953
16:February:2018,1518791400,67.25,61.880001068115234,35418800,64.5,62.372501373291016,62.372501373291016
20:February:2018,1519137000,63.31999969482422,61.52750015258789,9020400,62.0,62.412498474121094,62.412498474121094
21:February:2018,1519223400,62.63999938964844,58.95500183105469,11966000,62.25,59.50749969482422,59.50749969482422
22:February:2018,1519309800,61.35749816894531,59.810001373291016,6400000,60.0,61.165000915527344,61.165000915527344
23:February:2018,1519396200,62.372501373291016,60.084999084472656,5208800,61.587501525878906,61.47999954223633,61.47999954223633
26:February:2018,1519655400,65.0,61.693748474121094,6760400,61.89250183105469,64.9625015258789,64.9625015258789
27:February:2018,1519741800,65.98999786376953,63.9375,5651600,65.0,64.78500366210938,64.78500366210938
28:February:2018,1519828200,68.3949966430664,65.0,8564400,65.0,67.43499755859375,67.43499755859375
01:March:2018,1519914600,68.0999984741211,64.57749938964844,6458400,67.66000366210938,65.94999694824219,65.94999694824219
02:March:2018,1520001000,67.98750305175781,63.5525016784668,5660800,64.46499633789062,67.875,67.875
05:March:2018,1520260200,71.48500061035156,66.82499694824219,8217200,67.5,70.46499633789062,70.46499633789062
06:March:2018,1520346600,73.125,70.75,7250400,70.75,72.1500015258789,72.1500015258789
07:March:2018,1520433000,73.37999725341797,71.25,4968800,71.375,72.8949966430664,72.8949966430664
08:March:2018,1520519400,74.21475219726562,72.0,4442400,73.12999725341797,73.44249725341797,73.44249725341797
09:March:2018,1520605800,74.5,73.4530029296875,3690000,73.77749633789062,73.7874984741211,73.7874984741211
12:March:2018,1520861400,75.32749938964844,73.79000091552734,4828800,74.17250061035156,74.3499984741211,74.3499984741211
13:March:2018,1520947800,74.87999725341797,72.08000183105469,4796800,74.47000122070312,72.41999816894531,72.41999816894531
14:March:2018,1521034200,74.87000274658203,72.19750213623047,5563600,72.5,74.625,74.625
15:March:2018,1521120600,74.68250274658203,73.25499725341797,3552800,74.5,73.9749984741211,73.9749984741211
16:March:2018,1521207000,74.23625183105469,72.99500274658203,3064800,74.09750366210938,73.43000030517578,73.43000030517578
19:March:2018,1521466200,70.875,68.0625,7572800,69.07749938964844,69.34750366210938,69.34750366210938
20:March:2018,1521552600,72.1624984741211,69.72750091552734,4594800,69.88500213623047,71.3550033569336,71.3550033569336
21:March:2018,1521639000,71.60250091552734,70.2925033569336,2462400,71.30000305175781,70.67500305175781,70.67500305175781
22:March:2018,1521725400,70.4749984741211,68.25,3739200,69.5250015258789,68.43499755859375,68.43499755859375
23:March:2018,1521811800,68.94474792480469,65.52749633789062,4904000,68.52749633789062,66.05249786376953,66.05249786376953
26:March:2018,1522071000,68.25499725341797,65.58025360107422,4171600,67.75250244140625,67.74500274658203,67.74500274658203
27:March:2018,1522157400,68.73750305175781,63.13774871826172,5602800,68.23500061035156,63.42499923706055,63.42499923706055
28:March:2018,1522243800,63.29724884033203,60.79249954223633,7141200,63.02750015258789,61.28499984741211,61.28499984741211
29:March:2018,1522330200,64.625,61.11750030517578,5000400,62.002498626708984,63.82500076293945,63.82500076293945
02:April:2018,1522675800,64.79000091552734,62.17974853515625,4241200,63.3650016784668,63.377498626708984,63.377498626708984
03:April:2018,1522762200,64.3499984741211,62.5099983215332,3897200,64.125,63.377498626708984,63.377498626708984
04:April:2018,1522848600,64.92250061035156,61.275001525878906,3386000,61.56999969482422,64.73999786376953,64.73999786376953
05:April:2018,1522935000,67.86000061035156,65.2750015258789,4672800,65.71749877929688,65.68499755859375,65.68499755859375
06:April:2018,1523021400,65.49749755859375,64.01750183105469,3308400,64.42250061035156,64.68000030517578,64.68000030517578
09:April:2018,1523280600,66.5250015258789,64.875,2206000,65.63749694824219,64.875,64.875
10:April:2018,1523367000,67.2125015258789,65.84500122070312,2940800,66.31749725341797,66.79750061035156,66.79750061035156
11:April:2018,1523453400,67.38249969482422,66.31999969482422,2014400,66.31999969482422,66.6449966430664,66.6449966430664
12:April:2018,1523539800,68.0250015258789,66.99749755859375,2529600,67.0,67.22250366210938,67.22250366210938
13:April:2018,1523626200,64.58474731445312,60.33000183105469,11220000,64.50499725341797,61.04999923706055,61.04999923706055
16:April:2018,1523885400,61.923248291015625,59.67499923706055,6106400,61.662498474121094,59.86000061035156,59.86000061035156
17:April:2018,1523971800,64.6500015258789,60.13750076293945,8154800,60.25,64.19999694824219,64.19999694824219
18:April:2018,1524058200,64.79750061035156,62.407501220703125,2920800,64.05999755859375,64.625,64.625
19:April:2018,1524144600,64.36499786376953,62.6775016784668,2919600,63.91749954223633,64.09249877929688,64.09249877929688
20:April:2018,1524231000,65.8499984741211,63.86750030517578,2633200,64.31999969482422,65.1624984741211,65.1624984741211
23:April:2018,1524490200,65.49500274658203,63.002498626708984,2782800,65.49500274658203,63.54499816894531,63.54499816894531
24:April:2018,1524576600,66.0,62.150001525878906,3860400,64.49749755859375,63.01499938964844,63.01499938964844
25:April:2018,1524663000,64.05500030517578,61.801998138427734,2585200,62.872501373291016,63.255001068115234,63.255001068115234
26:April:2018,1524749400,64.94499969482422,63.7599983215332,2236800,63.89250183105469,64.87750244140625,64.87750244140625
27:April:2018,1524835800,66.6624984741211,64.99749755859375,2887600,65.65499877929688,65.6875,65.6875
30:April:2018,1525095000,66.87000274658203,65.32749938964844,3338400,66.04499816894531,66.13749694824219,66.13749694824219
01:May:2018,1525181400,66.33999633789062,65.13249969482422,2717200,66.13749694824219,66.31749725341797,66.31749725341797
02:May:2018,1525267800,68.13500213623047,66.35250091552734,3564400,66.87000274658203,66.36499786376953,66.36499786376953
03:May:2018,1525354200,67.6875,65.05500030517578,4751200,65.5824966430664,66.9625015258789,66.9625015258789
04:May:2018,1525440600,62.247501373291016,58.810001373291016,13546400,60.974998474121094,61.26250076293945,61.26250076293945
07:May:2018,1525699800,63.70500183105469,61.35749816894531,6547200,61.775001525878906,63.09000015258789,63.09000015258789
08:May:2018,1525786200,65.13249969482422,62.782501220703125,4562800,62.79249954223633,64.82250213623047,64.82250213623047
09:May:2018,1525872600,65.2750015258789,64.13999938964844,3482000,65.1050033569336,64.8550033569336,64.8550033569336
10:May:2018,1525959000,65.54750061035156,64.75,4894000,64.94999694824219,65.16500091552734,65.16500091552734
11:May:2018,1526045400,65.19999694824219,64.00250244140625,2346800,65.0,64.97750091552734,64.97750091552734
14:May:2018,1526304600,65.125,63.16999816894531,4228000,64.60250091552734,63.380001068115234,63.380001068115234
15:May:2018,1526391000,63.36000061035156,62.0625,2940800,62.834999084472656,62.38750076293945,62.38750076293945
16:May:2018,1526477400,62.70349884033203,61.650001525878906,2516400,62.310001373291016,62.282501220703125,62.282501220703125
17:May:2018,1526563800,62.282501220703125,60.904998779296875,5352800,62.0,61.86750030517578,61.86750030517578
18:May:2018,1526650200,62.52000045776367,61.8337516784668,1925200,62.0,62.022499084472656,62.022499084472656
21:May:2018,1526909400,63.95000076293945,62.435001373291016,3738000,62.435001373291016,63.5625,63.5625
22:May:2018,1526995800,64.2750015258789,62.375,3216800,63.275001525878906,62.404998779296875,62.404998779296875
23:May:2018,1527082200,64.03375244140625,62.0,2700000,62.18000030517578,63.994998931884766,63.994998931884766
24:May:2018,1527168600,63.94499969482422,62.51250076293945,2050400,63.94499969482422,63.15250015258789,63.15250015258789
25:May:2018,1527255000,64.2249984741211,63.15024948120117,2124800,63.36000061035156,63.9375,63.9375
29:May:2018,1527600600,64.875,63.310001373291016,4275200,63.5,63.96500015258789,63.96500015258789
30:May:2018,1527687000,64.375,62.86275100708008,3568000,64.0999984741211,62.912498474121094,62.912498474121094
31:May:2018,1527773400,64.03250122070312,62.79999923706055,3540000,63.369998931884766,62.88999938964844,62.88999938964844
