FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,177.83999633789062,173.97999572753906,818600,174.13999938964844,177.72999572753906,166.1222381591797
03:January:2018,1514989800,179.5800018310547,177.67999267578125,1054200,177.72999572753906,179.0800018310547,167.38409423828125
04:January:2018,1515076200,181.77000427246094,179.39999389648438,915600,180.49000549316406,180.75,168.9450225830078
05:January:2018,1515162600,183.4499969482422,180.75,516100,180.83999633789062,182.8699951171875,170.92654418945312
08:January:2018,1515421800,184.4600067138672,182.80999755859375,763900,183.19000244140625,183.8300018310547,171.82386779785156
09:January:2018,1515508200,184.1699981689453,181.24000549316406,854300,184.07000732421875,182.83999633789062,170.89849853515625
10:January:2018,1515594600,181.5500030517578,179.3300018310547,668700,181.38999938964844,180.7100067138672,168.90765380859375
11:January:2018,1515681000,180.22999572753906,177.91000366210938,831900,180.0800018310547,178.5500030517578,166.8887176513672
12:January:2018,1515767400,181.47000122070312,179.94000244140625,710300,181.11000061035156,180.8699951171875,169.0572052001953
16:January:2018,1516113000,188.5,185.25999450683594,1518900,187.6999969482422,186.3800048828125,174.2073211669922
17:January:2018,1516199400,201.1999969482422,194.75999450683594,2653200,194.99000549316406,199.17999267578125,186.17132568359375
18:January:2018,1516285800,205.5800018310547,201.80999755859375,3618500,202.17999267578125,203.36000061035156,190.07830810546875
19:January:2018,1516372200,206.02999877929688,203.1699981689453,1122900,205.22000122070312,205.52000427246094,192.0972900390625
22:January:2018,1516631400,205.5399932861328,203.3000030517578,1002300,204.5,205.5399932861328,192.11595153808594
23:January:2018,1516717800,205.9199981689453,204.0500030517578,559900,204.4199981689453,205.42999267578125,192.0131378173828
24:January:2018,1516804200,204.00999450683594,200.47000122070312,669800,203.50999450683594,202.25,189.04078674316406
25:January:2018,1516890600,208.5800018310547,200.64999389648438,1380200,207.13999938964844,200.8300018310547,187.71356201171875
26:January:2018,1516977000,206.6699981689453,203.72999572753906,1069200,204.0399932861328,206.50999450683594,193.02259826660156
29:January:2018,1517236200,204.58999633789062,201.92999267578125,1064500,204.33999633789062,204.02000427246094,190.69522094726562
30:January:2018,1517322600,203.4199981689453,200.02999877929688,744900,202.86000061035156,200.22999572753906,187.1527557373047
31:January:2018,1517409000,203.66000366210938,202.0,701800,202.38999938964844,202.9600067138672,189.70443725585938
01:February:2018,1517495400,203.39999389648438,200.41000366210938,741500,202.0800018310547,201.4199981689453,188.2650604248047
02:February:2018,1517581800,199.5,194.47000122070312,917300,199.33999633789062,194.57000732421875,181.8624267578125
05:February:2018,1517841000,196.57000732421875,186.55999755859375,912600,193.33999633789062,186.67999267578125,174.48773193359375
06:February:2018,1517927400,194.2899932861328,185.83999633789062,2881200,186.69000244140625,194.11000061035156,181.43243408203125
07:February:2018,1518013800,191.60000610351562,187.0,1275500,191.10000610351562,187.14999389648438,174.92703247070312
08:February:2018,1518100200,187.3699951171875,178.1999969482422,1767200,186.8800048828125,179.89999389648438,168.1505126953125
09:February:2018,1518186600,184.91000366210938,175.8800048828125,2070900,182.07000732421875,183.6699981689453,171.67431640625
12:February:2018,1518445800,187.38999938964844,183.07000732421875,1563400,183.3300018310547,186.33999633789062,174.16993713378906
13:February:2018,1518532200,186.24000549316406,183.8300018310547,496300,185.27999877929688,185.24000549316406,173.1417999267578
14:February:2018,1518618600,192.0800018310547,183.5500030517578,930600,183.7100067138672,191.33999633789062,178.84339904785156
15:February:2018,1518705000,195.1999969482422,190.97000122070312,1125900,193.2100067138672,194.89999389648438,182.17088317871094
16:February:2018,1518791400,195.3000030517578,192.0500030517578,738800,192.86000061035156,192.22999572753906,179.67523193359375
20:February:2018,1519137000,197.38999938964844,191.97000122070312,764000,191.99000549316406,195.52000427246094,182.75035095214844
21:February:2018,1519223400,197.97999572753906,194.27000427246094,703400,196.74000549316406,194.41000366210938,181.712890625
22:February:2018,1519309800,196.02999877929688,192.52000427246094,796500,195.72999572753906,193.2899932861328,180.66600036621094
23:February:2018,1519396200,197.08999633789062,193.66000366210938,741700,193.9499969482422,196.82000732421875,183.96548461914062
26:February:2018,1519655400,201.0,198.36000061035156,1172200,200.10000610351562,200.83999633789062,187.72293090820312
27:February:2018,1519741800,200.52999877929688,197.44000244140625,861100,198.97999572753906,197.44000244140625,184.54498291015625
28:February:2018,1519828200,198.74000549316406,195.0,623700,198.22000122070312,195.38999938964844,182.6288604736328
01:March:2018,1519914600,194.91000366210938,189.02999877929688,901900,193.16000366210938,191.92999267578125,179.3948516845703
02:March:2018,1520001000,193.8800048828125,189.08999633789062,696000,190.5,193.57000732421875,180.92776489257812
05:March:2018,1520260200,199.58999633789062,194.3800048828125,730700,194.72000122070312,198.35000610351562,185.39556884765625
06:March:2018,1520346600,203.38999938964844,199.2899932861328,1538800,200.02999877929688,202.83999633789062,189.59231567382812
07:March:2018,1520433000,206.4199981689453,202.83999633789062,1308300,204.3800048828125,206.0500030517578,192.5926513671875
08:March:2018,1520519400,207.22999572753906,204.3000030517578,458100,206.9499969482422,205.02000427246094,191.6298828125
09:March:2018,1520605800,209.88999938964844,206.92999267578125,645100,207.39999389648438,209.41000366210938,195.7332000732422
12:March:2018,1520861400,212.75,210.32000732421875,788800,210.89999389648438,211.3000030517578,197.49977111816406
13:March:2018,1520947800,213.60000610351562,207.1199951171875,656900,212.77000427246094,208.02000427246094,194.43397521972656
14:March:2018,1521034200,212.47000122070312,209.2899932861328,733400,212.35000610351562,211.52999877929688,197.71475219726562
15:March:2018,1521120600,215.47999572753906,212.75,700500,214.3000030517578,214.44000244140625,200.4346923828125
16:March:2018,1521207000,214.5800018310547,212.55999755859375,822000,213.5399932861328,214.05999755859375,200.07949829101562
19:March:2018,1521466200,214.10000610351562,210.02999877929688,1063300,214.0,212.75,198.8550567626953
20:March:2018,1521552600,214.3000030517578,210.47999572753906,790400,210.5500030517578,212.60000610351562,198.71487426757812
21:March:2018,1521639000,216.0,212.35000610351562,465400,213.08999633789062,213.72999572753906,199.7710418701172
22:March:2018,1521725400,212.02000427246094,204.4600067138672,1008300,210.0800018310547,204.72000122070312,191.34951782226562
23:March:2018,1521811800,206.27000427246094,199.02999877929688,1149000,205.52000427246094,199.11000061035156,186.1059112548828
26:March:2018,1522071000,207.52999877929688,202.08999633789062,776800,205.00999450683594,207.4499969482422,193.9011993408203
27:March:2018,1522157400,207.9199981689453,198.8800048828125,681900,207.17999267578125,200.2899932861328,187.2088165283203
28:March:2018,1522243800,199.16000366210938,193.17999267578125,2776600,197.49000549316406,194.52999877929688,181.8250274658203
29:March:2018,1522330200,200.4199981689453,194.8300018310547,1193200,195.85000610351562,198.55999755859375,185.5918426513672
02:April:2018,1522675800,199.16000366210938,190.6300048828125,705200,197.47000122070312,193.0500030517578,180.44171142578125
03:April:2018,1522762200,200.08999633789062,196.39999389648438,1165600,197.60000610351562,199.42999267578125,186.40501403808594
04:April:2018,1522848600,198.30999755859375,191.49000549316406,1704900,191.66000366210938,198.25999450683594,185.31141662597656
05:April:2018,1522935000,200.92999267578125,197.27000427246094,861200,199.44000244140625,198.67999267578125,185.70399475097656
06:April:2018,1523021400,199.27999877929688,194.00999450683594,837900,197.49000549316406,194.6300048828125,181.91848754882812
09:April:2018,1523280600,202.57000732421875,196.88999938964844,774100,198.00999450683594,198.52999877929688,185.5637664794922
10:April:2018,1523367000,207.07000732421875,202.0,885800,204.4199981689453,205.5500030517578,192.12530517578125
11:April:2018,1523453400,206.6999969482422,203.8800048828125,855500,204.13999938964844,205.5500030517578,192.12530517578125
12:April:2018,1523539800,207.32000732421875,205.07000732421875,1044500,205.8699951171875,206.24000549316406,192.770263671875
13:April:2018,1523626200,207.14999389648438,204.8300018310547,526000,205.8300018310547,205.64999389648438,192.2187957763672
16:April:2018,1523885400,207.97000122070312,205.55999755859375,828600,207.63999938964844,206.6999969482422,193.2001953125
17:April:2018,1523971800,213.35000610351562,207.83999633789062,1233000,208.47999572753906,212.6999969482422,198.80828857421875
18:April:2018,1524058200,208.75,203.0,1700600,208.75,206.32000732421875,192.844970703125
