FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,38.95000076293945,38.43000030517578,20135700,38.66999816894531,38.86000061035156,31.625274658203125
03:January:2018,1514989800,39.279998779296875,38.529998779296875,29536000,38.720001220703125,39.16999816894531,31.877561569213867
04:January:2018,1515076200,39.540000915527344,38.93000030517578,20731400,39.04999923706055,38.9900016784668,31.967763900756836
05:January:2018,1515162600,39.880001068115234,39.369998931884766,24588200,39.54999923706055,39.529998779296875,32.41050338745117
08:January:2018,1515421800,39.959999084472656,39.349998474121094,16582000,39.52000045776367,39.939998626708984,32.74665451049805
09:January:2018,1515508200,39.959999084472656,39.540000915527344,21449800,39.790000915527344,39.689998626708984,32.54168701171875
10:January:2018,1515594600,40.2400016784668,39.630001068115234,19473000,39.650001525878906,39.90999984741211,32.72206115722656
11:January:2018,1515681000,40.209999084472656,39.75,21685600,40.13999938964844,40.099998474121094,32.87784194946289
12:January:2018,1515767400,40.93000030517578,40.04999923706055,23770500,40.220001220703125,40.869998931884766,33.509159088134766
16:January:2018,1516113000,41.15999984741211,40.31999969482422,32845000,40.900001525878906,40.540000915527344,33.23859405517578
17:January:2018,1516199400,41.31999969482422,40.709999084472656,24427100,40.84000015258789,41.20000076293945,33.77973175048828
18:January:2018,1516285800,41.47999954223633,41.029998779296875,19610200,41.2400016784668,41.29999923706055,33.86172103881836
19:January:2018,1516372200,41.52000045776367,41.099998474121094,24582000,41.279998779296875,41.290000915527344,33.85352325439453
22:January:2018,1516631400,41.65999984741211,41.02000045776367,22995100,41.20000076293945,41.65999984741211,34.15687942504883
23:January:2018,1516717800,42.130001068115234,41.540000915527344,23984500,41.540000915527344,42.099998474121094,34.51763153076172
24:January:2018,1516804200,42.689998626708984,42.0099983215332,26696200,42.20000076293945,42.16999816894531,34.57502365112305
25:January:2018,1516890600,42.470001220703125,41.81999969482422,19207500,42.27000045776367,41.900001525878906,34.35365676879883
26:January:2018,1516977000,42.560001373291016,41.95000076293945,23380400,42.150001525878906,42.560001373291016,34.8947868347168
29:January:2018,1517236200,42.97999954223633,42.29999923706055,23625900,42.29999923706055,42.849998474121094,35.132545471191406
30:January:2018,1517322600,42.86000061035156,41.970001220703125,28993900,42.689998626708984,42.25,34.64061737060547
31:January:2018,1517409000,42.0099983215332,41.349998474121094,36512100,41.97999954223633,41.540000915527344,34.058494567871094
01:February:2018,1517495400,42.11000061035156,40.66999816894531,26148500,41.09000015258789,41.70000076293945,34.18967819213867
02:February:2018,1517581800,41.95000076293945,40.869998931884766,27224200,41.5,40.93000030517578,33.55835723876953
05:February:2018,1517841000,41.40999984741211,38.720001220703125,52399600,40.869998931884766,38.779998779296875,31.795576095581055
06:February:2018,1517927400,40.310001373291016,37.349998474121094,55171600,38.33000183105469,40.16999816894531,32.935237884521484
07:February:2018,1518013800,41.209999084472656,40.029998779296875,32690800,40.310001373291016,40.34000015258789,33.07461166381836
08:February:2018,1518100200,40.7599983215332,38.720001220703125,42982100,40.439998626708984,38.77000045776367,31.78738784790039
09:February:2018,1518186600,39.91999816894531,38.22999954223633,51304200,39.0,39.529998779296875,32.41050338745117
12:February:2018,1518445800,40.90999984741211,40.22999954223633,38210700,40.52000045776367,40.599998474121094,33.28778076171875
13:February:2018,1518532200,41.310001373291016,40.220001220703125,30999100,40.5,41.22999954223633,33.80432891845703
14:February:2018,1518618600,42.2599983215332,40.9900016784668,43835900,41.040000915527344,42.09000015258789,34.509437561035156
15:February:2018,1518705000,45.130001068115234,43.2599983215332,72267500,45.06999969482422,44.08000183105469,36.14103698730469
16:February:2018,1518791400,45.09000015258789,43.790000915527344,39267500,43.88999938964844,44.33000183105469,36.346004486083984
20:February:2018,1519137000,44.689998626708984,43.810001373291016,29006900,44.0,44.060001373291016,36.12462615966797
21:February:2018,1519223400,44.41999816894531,43.279998779296875,28499200,44.11000061035156,43.310001373291016,35.509708404541016
22:February:2018,1519309800,43.560001373291016,42.75,25887600,43.4900016784668,42.939998626708984,35.20634841918945
23:February:2018,1519396200,44.040000915527344,42.91999816894531,25781400,43.369998931884766,44.0,36.07543182373047
26:February:2018,1519655400,45.45000076293945,44.130001068115234,27771100,44.29999923706055,45.36000061035156,37.19049072265625
27:February:2018,1519741800,45.61000061035156,44.619998931884766,27419300,45.40999984741211,45.040000915527344,36.928131103515625
28:February:2018,1519828200,45.88999938964844,44.779998779296875,26885200,45.27000045776367,44.779998779296875,36.714962005615234
01:March:2018,1519914600,45.0,43.349998474121094,32154300,44.68000030517578,43.79999923706055,35.911468505859375
02:March:2018,1520001000,44.220001220703125,43.099998474121094,28848100,43.290000915527344,44.060001373291016,36.12462615966797
05:March:2018,1520260200,44.77000045776367,43.70000076293945,22101700,43.91999816894531,44.52000045776367,36.50178909301758
06:March:2018,1520346600,44.790000915527344,44.13999938964844,21930000,44.650001525878906,44.290000915527344,36.31320571899414
07:March:2018,1520433000,44.38999938964844,43.79999923706055,22034400,44.029998779296875,44.20000076293945,36.239418029785156
08:March:2018,1520519400,44.40999984741211,43.939998626708984,20285600,44.25,44.34000015258789,36.35420227050781
09:March:2018,1520605800,45.540000915527344,44.61000061035156,22230900,44.619998931884766,45.369998931884766,37.19869613647461
12:March:2018,1520861400,45.869998931884766,45.400001525878906,18299800,45.529998779296875,45.54999923706055,37.34627151489258
13:March:2018,1520947800,46.15999984741211,44.91999816894531,23411200,45.779998779296875,45.15999984741211,37.02652359008789
14:March:2018,1521034200,45.7599983215332,45.09000015258789,21141100,45.34000015258789,45.279998779296875,37.12490463256836
15:March:2018,1521120600,45.7400016784668,45.119998931884766,23520400,45.29999923706055,45.33000183105469,37.16590118408203
16:March:2018,1521207000,45.599998474121094,44.970001220703125,56129000,45.33000183105469,45.0099983215332,36.90352249145508
19:March:2018,1521466200,44.81999969482422,43.900001525878906,26734100,44.59000015258789,44.27000045776367,36.296810150146484
20:March:2018,1521552600,44.63999938964844,44.18000030517578,22809700,44.4900016784668,44.369998931884766,36.3787956237793
21:March:2018,1521639000,44.900001525878906,44.130001068115234,22528200,44.2400016784668,44.310001373291016,36.32960510253906
22:March:2018,1521725400,44.02000045776367,43.02000045776367,29520800,43.7599983215332,43.06999969482422,35.31293869018555
23:March:2018,1521811800,43.84000015258789,42.41999816894531,31759200,43.709999084472656,42.41999816894531,34.77999496459961
26:March:2018,1522071000,44.15999984741211,42.83000183105469,29731900,43.25,44.060001373291016,36.12462615966797
27:March:2018,1522157400,44.52000045776367,42.2400016784668,30942000,44.4900016784668,42.68000030517578,34.9931755065918
28:March:2018,1522243800,42.84000015258789,41.619998931884766,36696800,42.5099983215332,41.65999984741211,34.15687942504883
29:March:2018,1522330200,42.93000030517578,41.58000183105469,55021200,41.939998626708984,42.88999938964844,35.16535568237305
02:April:2018,1522675800,42.630001068115234,40.529998779296875,36791800,42.52000045776367,41.0099983215332,33.62394332885742
03:April:2018,1522762200,41.5,40.720001220703125,28003900,41.34000015258789,41.380001068115234,33.92731475830078
04:April:2018,1522848600,41.54999923706055,40.189998626708984,30117600,40.38999938964844,41.20000076293945,34.05128860473633
05:April:2018,1522935000,42.02000045776367,41.380001068115234,29331600,41.5,41.81999969482422,34.56371307373047
06:April:2018,1523021400,41.68000030517578,40.45000076293945,32208700,41.400001525878906,40.72999954223633,33.66282653808594
09:April:2018,1523280600,42.060001373291016,40.900001525878906,25725800,40.95000076293945,41.16999816894531,34.026485443115234
10:April:2018,1523367000,42.709999084472656,41.75,22724400,42.099998474121094,42.5099983215332,35.13397979736328
11:April:2018,1523453400,42.900001525878906,42.2599983215332,21693000,42.41999816894531,42.43000030517578,35.067867279052734
12:April:2018,1523539800,43.63999938964844,42.72999954223633,22297000,42.779998779296875,43.34000015258789,35.81996154785156
13:April:2018,1523626200,43.7400016784668,42.63999938964844,18272300,43.54999923706055,43.0,35.538963317871094
16:April:2018,1523885400,43.63999938964844,43.029998779296875,15807900,43.119998931884766,43.29999923706055,35.786903381347656
17:April:2018,1523971800,44.75,43.709999084472656,21474600,43.849998474121094,44.59000015258789,36.85307693481445
18:April:2018,1524058200,44.91999816894531,44.29999923706055,17605300,44.61000061035156,44.630001068115234,36.886146545410156
19:April:2018,1524144600,44.95000076293945,44.380001068115234,21472300,44.41999816894531,44.560001373291016,36.82828140258789
20:April:2018,1524231000,44.75,43.619998931884766,23539200,44.5,44.09000015258789,36.43982696533203
23:April:2018,1524490200,44.47999954223633,43.869998931884766,20716800,44.2599983215332,44.25,36.57206726074219
24:April:2018,1524576600,44.90999984741211,43.33000183105469,21421500,44.43000030517578,43.7400016784668,36.15056610107422
25:April:2018,1524663000,43.9900016784668,42.75,21706000,43.79999923706055,43.709999084472656,36.12576675415039
26:April:2018,1524749400,44.4900016784668,43.439998626708984,20549300,43.97999954223633,44.209999084472656,36.53901290893555
27:April:2018,1524835800,45.34000015258789,44.36000061035156,20077400,44.689998626708984,44.709999084472656,36.9522590637207
30:April:2018,1525095000,45.18000030517578,44.279998779296875,19958500,44.91999816894531,44.290000915527344,36.60512924194336
01:May:2018,1525181400,44.95000076293945,43.83000183105469,16865500,43.90999984741211,44.83000183105469,37.05143356323242
02:May:2018,1525267800,45.04999923706055,43.79999923706055,23601600,44.90999984741211,43.86000061035156,36.24974060058594
03:May:2018,1525354200,44.810001373291016,43.439998626708984,23750200,44.0099983215332,44.439998626708984,36.72909927368164
04:May:2018,1525440600,45.5,43.900001525878906,19504100,44.0099983215332,45.29999923706055,37.43988037109375
07:May:2018,1525699800,46.0,45.29999923706055,17822400,45.36000061035156,45.72999954223633,37.795265197753906
08:May:2018,1525786200,45.869998931884766,45.380001068115234,20285300,45.81999969482422,45.709999084472656,37.77873611450195
09:May:2018,1525872600,46.099998474121094,45.189998626708984,20438300,45.900001525878906,46.040000915527344,38.051490783691406
10:May:2018,1525959000,46.369998931884766,45.66999816894531,18469400,46.0,46.29999923706055,38.266361236572266
11:May:2018,1526045400,46.27000045776367,45.779998779296875,17551500,46.09000015258789,45.93000030517578,37.96056365966797
14:May:2018,1526304600,46.22999954223633,45.66999816894531,22037700,45.75,45.70000076293945,37.770484924316406
15:May:2018,1526391000,45.54999923706055,44.93000030517578,24753600,45.209999084472656,45.47999954223633,37.58864974975586
16:May:2018,1526477400,45.54999923706055,45.0099983215332,31253700,45.36000061035156,45.15999984741211,37.324180603027344
17:May:2018,1526563800,44.15999984741211,43.02000045776367,48210400,43.130001068115234,43.459999084472656,35.91913986206055
18:May:2018,1526650200,43.56999969482422,43.11000061035156,24456000,43.459999084472656,43.209999084472656,35.712528228759766
21:May:2018,1526909400,43.939998626708984,43.41999816894531,21785900,43.4900016784668,43.75,36.1588249206543
22:May:2018,1526995800,43.90999984741211,43.47999954223633,16381800,43.790000915527344,43.650001525878906,36.0761833190918
23:May:2018,1527082200,43.70000076293945,42.88999938964844,20638800,43.400001525878906,43.68000030517578,36.10097122192383
24:May:2018,1527168600,43.970001220703125,43.0099983215332,18377500,43.599998474121094,43.56999969482422,36.01005554199219
25:May:2018,1527255000,43.619998931884766,43.209999084472656,15362000,43.459999084472656,43.2599983215332,35.75383758544922
29:May:2018,1527600600,43.15999984741211,42.52000045776367,25197400,42.7599983215332,42.970001220703125,35.514156341552734
30:May:2018,1527687000,43.34000015258789,42.83000183105469,22498800,43.08000183105469,42.849998474121094,35.414981842041016
31:May:2018,1527773400,43.130001068115234,42.61000061035156,31439600,42.86000061035156,42.709999084472656,35.29928970336914
01:June:2018,1527859800,43.689998626708984,42.880001068115234,18352700,42.90999984741211,43.65999984741211,36.08444595336914
04:June:2018,1528119000,43.83000183105469,43.209999084472656,18087700,43.5,43.58000183105469,36.0183219909668
05:June:2018,1528205400,43.75,43.38999938964844,16728800,43.7400016784668,43.66999816894531,36.09270477294922
06:June:2018,1528291800,44.310001373291016,43.65999984741211,17730200,43.7599983215332,44.2599983215332,36.5803337097168
07:June:2018,1528378200,44.38999938964844,43.349998474121094,19722000,44.2400016784668,43.650001525878906,36.0761833190918
08:June:2018,1528464600,43.72999954223633,43.310001373291016,18812400,43.52000045776367,43.47999954223633,35.9356689453125
