FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,148.0019073486328,146.7877655029297,4395815,147.70555114746094,147.46653747558594,107.53044891357422
03:January:2018,1514989800,152.7820281982422,149.45506286621094,9875914,150.420654296875,151.52008056640625,110.48622131347656
04:January:2018,1515076200,155.181640625,152.3613739013672,7903785,152.62905883789062,154.5889129638672,112.7239761352539
05:January:2018,1515162600,155.73614501953125,154.01528930664062,5434807,155.29637145996094,155.3441619873047,113.27467346191406
08:January:2018,1515421800,156.70172119140625,154.5889129638672,5478425,155.50669860839844,156.28106689453125,113.95785522460938
09:January:2018,1515508200,157.29444885253906,155.88909912109375,4541523,156.69215393066406,156.625244140625,114.20881652832031
10:January:2018,1515594600,157.10325622558594,155.35372924804688,4366109,155.74569702148438,156.95985412597656,114.45281219482422
11:January:2018,1515681000,157.68641662597656,156.11854553222656,3969047,157.55258178710938,156.97897338867188,114.46674346923828
12:January:2018,1515767400,157.49522399902344,155.8604278564453,5263367,156.806884765625,155.965576171875,113.72781372070312
16:January:2018,1516113000,158.02102661132812,156.16635131835938,8152733,157.83938598632812,156.6443634033203,114.22276306152344
17:January:2018,1516199400,161.69215393066406,159.90440368652344,12248660,160.6214141845703,161.2332763671875,117.56890869140625
18:January:2018,1516285800,163.6042022705078,160.75526428222656,14915228,162.52389526367188,161.68260192871094,117.89656829833984
19:January:2018,1516372200,158.12619018554688,154.2064971923828,22146435,157.2275390625,155.2294464111328,113.19103240966797
22:January:2018,1516631400,156.76864624023438,154.0248565673828,8870917,154.4072723388672,155.44932556152344,113.35134887695312
23:January:2018,1516717800,158.94837951660156,155.36329650878906,7809645,155.65965270996094,158.93881225585938,115.8958511352539
24:January:2018,1516804200,161.30018615722656,157.5717010498047,5904670,159.4168243408203,158.09751892089844,115.28238677978516
25:January:2018,1516890600,159.4455108642578,157.92543029785156,3454415,158.61376953125,158.193115234375,115.35208892822266
26:January:2018,1516977000,160.0478057861328,158.49903869628906,3962143,158.8145294189453,159.9808807373047,116.65569305419922
29:January:2018,1517236200,160.98471069335938,158.70936584472656,3678782,160.08604431152344,159.46463012695312,116.27925109863281
30:January:2018,1517322600,159.43594360351562,155.98471069335938,5127806,158.90057373046875,156.42446899414062,114.06241607666016
31:January:2018,1517409000,157.73422241210938,155.602294921875,4260149,156.5487518310547,156.50096130371094,114.11819458007812
01:February:2018,1517495400,156.91204833984375,154.78012084960938,4638173,156.0133819580078,155.2581329345703,113.21194458007812
02:February:2018,1517581800,154.87571716308594,151.88336181640625,5493487,154.5889129638672,152.0363311767578,110.86266326904297
