FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,158.85000610351562,157.00999450683594,1436100,158.22000122070312,158.72000122070312,151.38572692871094
03:January:2018,1514989800,159.3300018310547,157.74000549316406,1410900,158.22999572753906,159.16000366210938,151.80538940429688
04:January:2018,1515076200,163.82000732421875,159.4600067138672,1695000,159.4600067138672,162.00999450683594,154.52369689941406
05:January:2018,1515162600,164.5500030517578,162.5,1071900,162.8000030517578,164.11000061035156,156.5266876220703
08:January:2018,1515421800,164.52999877929688,163.33999633789062,1185800,164.02999877929688,164.2100067138672,156.62208557128906
09:January:2018,1515508200,165.1300048828125,162.77000427246094,1098300,164.13999938964844,164.85000610351562,157.60679626464844
10:January:2018,1515594600,164.5800018310547,162.5500030517578,1095400,164.3800048828125,163.50999450683594,156.32565307617188
11:January:2018,1515681000,164.27999877929688,162.25,813700,163.52000427246094,163.0,155.8380889892578
12:January:2018,1515767400,164.94000244140625,162.92999267578125,651800,163.0800018310547,164.50999450683594,157.28173828125
16:January:2018,1516113000,166.49000549316406,161.8300018310547,1385000,165.0,162.2899932861328,155.15928649902344
17:January:2018,1516199400,164.67999267578125,162.92999267578125,903200,163.8800048828125,164.2899932861328,157.07138061523438
18:January:2018,1516285800,164.9600067138672,163.61000061035156,980800,163.88999938964844,164.39999389648438,157.17657470703125
19:January:2018,1516372200,167.82000732421875,164.6199951171875,1555400,164.94000244140625,167.74000549316406,160.3698272705078
22:January:2018,1516631400,168.8000030517578,167.13999938964844,1042600,167.75,168.6699981689453,161.25894165039062
23:January:2018,1516717800,169.7899932861328,167.75,1058800,169.0,168.4600067138672,161.0581817626953
24:January:2018,1516804200,169.5800018310547,166.88999938964844,860600,168.63999938964844,167.5500030517578,160.18817138671875
25:January:2018,1516890600,168.77999877929688,166.27999877929688,740000,168.02999877929688,167.82000732421875,160.44630432128906
26:January:2018,1516977000,170.58999633789062,168.19000244140625,751700,168.5399932861328,170.44000244140625,162.95120239257812
29:January:2018,1517236200,170.42999267578125,168.27000427246094,939800,169.9600067138672,169.2100067138672,161.7751922607422
30:January:2018,1517322600,170.0,167.3300018310547,1189200,169.7100067138672,168.5,161.09642028808594
31:January:2018,1517409000,168.97999572753906,166.97000122070312,1314500,168.60000610351562,167.89999389648438,160.52281188964844
01:February:2018,1517495400,168.4499969482422,164.9199981689453,1499900,167.55999755859375,165.64999389648438,158.37164306640625
02:February:2018,1517581800,166.41000366210938,163.41000366210938,1412900,164.49000549316406,163.4199981689453,156.23960876464844
05:February:2018,1517841000,163.99000549316406,157.63999938964844,1678300,162.66000366210938,157.64999389648438,150.72317504882812
06:February:2018,1517927400,160.91000366210938,152.61000061035156,2205500,155.2100067138672,160.8699951171875,153.80169677734375
07:February:2018,1518013800,165.30999755859375,159.13999938964844,1673500,159.75,161.2899932861328,154.20321655273438
08:February:2018,1518100200,161.27999877929688,152.66000366210938,1615100,161.27999877929688,152.75,146.03846740722656
09:February:2018,1518186600,158.3800048828125,150.42999267578125,2175700,152.72000122070312,157.05999755859375,150.1590118408203
12:February:2018,1518445800,160.77999877929688,157.5,1484900,159.2100067138672,159.3800048828125,152.3771209716797
13:February:2018,1518532200,160.1999969482422,155.02000427246094,1264500,156.92999267578125,159.36000061035156,152.3580322265625
14:February:2018,1518618600,164.05999755859375,158.1300048828125,1235400,158.85000610351562,163.89999389648438,156.698486328125
15:February:2018,1518705000,169.32000732421875,163.3800048828125,1237600,164.72999572753906,169.30999755859375,161.87083435058594
16:February:2018,1518791400,173.0,168.80999755859375,1700500,169.02000427246094,171.69000244140625,164.146240234375
20:February:2018,1519137000,174.5500030517578,170.5500030517578,1819800,171.0,173.57000732421875,165.94366455078125
21:February:2018,1519223400,176.25999450683594,173.2100067138672,1460400,174.5,173.32000732421875,165.70465087890625
22:February:2018,1519309800,177.50999450683594,171.5800018310547,2068800,173.88999938964844,172.10000610351562,164.5382537841797
23:February:2018,1519396200,172.3000030517578,164.85000610351562,3189900,167.89999389648438,171.77999877929688,164.2322998046875
26:February:2018,1519655400,172.86000061035156,169.92999267578125,2290700,171.75,172.6699981689453,165.08319091796875
27:February:2018,1519741800,173.16000366210938,170.25999450683594,1740400,172.36000061035156,170.35000610351562,162.86509704589844
28:February:2018,1519828200,172.11000061035156,166.8000030517578,1672300,171.3800048828125,166.86000061035156,159.52847290039062
01:March:2018,1519914600,168.13999938964844,163.24000549316406,1794300,167.39999389648438,164.33999633789062,157.1191864013672
02:March:2018,1520001000,169.2100067138672,162.58999633789062,1896100,162.83999633789062,168.83999633789062,161.42149353027344
05:March:2018,1520260200,171.41000366210938,167.0,1301800,167.58999633789062,170.17999267578125,162.70257568359375
06:March:2018,1520346600,171.08999633789062,168.7899932861328,1262600,170.89999389648438,169.4600067138672,162.0142364501953
07:March:2018,1520433000,171.16000366210938,168.25999450683594,1352300,168.5800018310547,170.66000366210938,163.16151428222656
08:March:2018,1520519400,171.6199951171875,169.82000732421875,817700,171.0399932861328,171.47000122070312,163.93589782714844
09:March:2018,1520605800,177.25999450683594,172.02000427246094,1761600,172.3800048828125,177.1699981689453,169.385498046875
12:March:2018,1520861400,178.61000061035156,176.5399932861328,1990600,177.42999267578125,177.3300018310547,169.5384521484375
13:March:2018,1520947800,179.1699981689453,176.57000732421875,1679200,177.6699981689453,177.67999267578125,169.87303161621094
14:March:2018,1521034200,178.99000549316406,176.25999450683594,1021600,178.8000030517578,177.2899932861328,169.5001678466797
15:March:2018,1521120600,178.4199981689453,176.72000122070312,1230900,177.27000427246094,177.92999267578125,170.112060546875
