FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,132.35000610351562,130.13999938964844,1282700,131.0,131.72999572753906,131.72999572753906
03:January:2018,1514989800,133.25,131.74000549316406,1580900,132.0,132.91000366210938,132.91000366210938
04:January:2018,1515076200,135.08999633789062,133.77999877929688,1361900,133.8800048828125,133.85000610351562,133.85000610351562
05:January:2018,1515162600,135.1300048828125,133.89999389648438,1183000,134.9499969482422,135.00999450683594,135.00999450683594
08:January:2018,1515421800,136.08999633789062,134.8699951171875,1337200,135.0500030517578,135.3000030517578,135.3000030517578
09:January:2018,1515508200,136.39999389648438,134.6199951171875,1305800,135.64999389648438,135.4499969482422,135.4499969482422
10:January:2018,1515594600,136.41000366210938,134.36000061035156,1903700,134.9600067138672,136.22999572753906,136.22999572753906
11:January:2018,1515681000,137.77999877929688,136.24000549316406,1515700,136.58999633789062,137.5800018310547,137.5800018310547
12:January:2018,1515767400,139.05999755859375,137.0800018310547,1199700,137.63999938964844,138.19000244140625,138.19000244140625
16:January:2018,1516113000,141.66000366210938,139.2100067138672,3150300,141.32000732421875,139.7899932861328,139.7899932861328
17:January:2018,1516199400,140.92999267578125,139.0,1775400,140.8300018310547,140.7899932861328,140.7899932861328
18:January:2018,1516285800,141.47999572753906,140.0,1292800,140.75,141.1300048828125,141.1300048828125
19:January:2018,1516372200,142.52000427246094,141.02000427246094,1605200,141.22999572753906,142.27000427246094,142.27000427246094
22:January:2018,1516631400,144.0800018310547,141.75999450683594,1379500,142.3300018310547,143.89999389648438,143.89999389648438
23:January:2018,1516717800,144.99000549316406,143.55999755859375,1374400,144.58999633789062,144.42999267578125,144.42999267578125
24:January:2018,1516804200,146.6699981689453,144.3699951171875,1432500,144.4199981689453,145.44000244140625,145.44000244140625
25:January:2018,1516890600,146.89999389648438,145.4199981689453,1220700,146.88999938964844,145.5399932861328,145.5399932861328
26:January:2018,1516977000,149.82000732421875,146.3800048828125,1474600,147.16000366210938,149.74000549316406,149.74000549316406
29:January:2018,1517236200,150.85000610351562,146.8300018310547,2414800,149.58999633789062,147.08999633789062,147.08999633789062
30:January:2018,1517322600,147.44000244140625,145.6300048828125,2369500,146.07000732421875,146.58999633789062,146.58999633789062
31:January:2018,1517409000,150.10000610351562,147.75999450683594,2881300,148.67999267578125,148.8699951171875,148.8699951171875
01:February:2018,1517495400,156.5399932861328,151.3300018310547,4230800,151.75999450683594,152.80999755859375,152.80999755859375
02:February:2018,1517581800,151.94000244140625,147.3300018310547,2826700,150.50999450683594,149.75999450683594,149.75999450683594
05:February:2018,1517841000,157.0,145.42999267578125,3788700,147.2899932861328,147.38999938964844,147.38999938964844
06:February:2018,1517927400,149.3800048828125,143.49000549316406,2963100,144.91000366210938,149.02000427246094,149.02000427246094
07:February:2018,1518013800,154.02999877929688,148.07000732421875,2462800,148.6199951171875,153.1699981689453,153.1699981689453
08:February:2018,1518100200,153.5,140.10000610351562,3737300,153.0,140.10000610351562,140.10000610351562
09:February:2018,1518186600,146.75999450683594,137.60000610351562,2836200,142.13999938964844,145.16000366210938,145.16000366210938
12:February:2018,1518445800,148.6300048828125,145.24000549316406,1614800,146.97000122070312,147.24000549316406,147.24000549316406
13:February:2018,1518532200,148.32000732421875,145.57000732421875,1431500,146.0399932861328,147.5500030517578,147.5500030517578
14:February:2018,1518618600,149.0,146.3000030517578,1852100,147.27000427246094,147.74000549316406,147.74000549316406
15:February:2018,1518705000,152.7899932861328,147.8000030517578,1881300,148.9499969482422,152.5399932861328,152.5399932861328
16:February:2018,1518791400,156.19000244140625,151.17999267578125,1896300,151.92999267578125,154.02999877929688,154.02999877929688
20:February:2018,1519137000,158.1300048828125,152.02999877929688,1755300,152.89999389648438,156.75999450683594,156.75999450683594
21:February:2018,1519223400,160.72999572753906,156.30999755859375,1924000,156.36000061035156,157.5800018310547,157.5800018310547
22:February:2018,1519309800,159.30999755859375,155.69000244140625,1170300,157.77999877929688,156.0500030517578,156.0500030517578
23:February:2018,1519396200,160.6300048828125,156.86000061035156,1035800,156.86000061035156,160.39999389648438,160.39999389648438
26:February:2018,1519655400,162.63999938964844,159.66000366210938,1205100,160.8000030517578,160.57000732421875,160.57000732421875
27:February:2018,1519741800,164.24000549316406,160.75,1997900,161.27000427246094,163.33999633789062,163.33999633789062
28:February:2018,1519828200,165.67999267578125,160.8699951171875,1934800,163.27000427246094,161.00999450683594,161.00999450683594
01:March:2018,1519914600,164.25999450683594,157.8800048828125,2001700,162.6199951171875,159.57000732421875,159.57000732421875
02:March:2018,1520001000,167.10000610351562,157.52999877929688,2189600,158.64999389648438,166.6699981689453,166.6699981689453
05:March:2018,1520260200,169.19000244140625,163.80999755859375,2047100,164.75999450683594,168.3000030517578,168.3000030517578
06:March:2018,1520346600,171.91000366210938,168.41000366210938,2735000,169.39999389648438,171.07000732421875,171.07000732421875
07:March:2018,1520433000,174.19000244140625,169.3800048828125,1654500,169.4499969482422,173.05999755859375,173.05999755859375
08:March:2018,1520519400,175.64999389648438,172.39999389648438,1851400,174.67999267578125,172.99000549316406,172.99000549316406
09:March:2018,1520605800,174.99000549316406,172.4600067138672,2359500,174.33999633789062,172.75999450683594,172.75999450683594
12:March:2018,1520861400,175.89999389648438,171.55999755859375,2120300,172.75999450683594,174.42999267578125,174.42999267578125
13:March:2018,1520947800,175.99000549316406,172.1699981689453,1842600,175.99000549316406,173.9600067138672,173.9600067138672
14:March:2018,1521034200,176.55999755859375,173.49000549316406,1402800,175.3699951171875,175.33999633789062,175.33999633789062
15:March:2018,1521120600,176.0,170.91000366210938,1657200,175.9600067138672,173.8300018310547,173.8300018310547
16:March:2018,1521207000,175.0,169.07000732421875,2442400,174.82000732421875,169.97999572753906,169.97999572753906
19:March:2018,1521466200,172.77999877929688,167.4199981689453,1974800,169.8000030517578,169.80999755859375,169.80999755859375
20:March:2018,1521552600,173.3699951171875,169.22999572753906,3001100,169.8699951171875,172.11000061035156,172.11000061035156
21:March:2018,1521639000,176.1999969482422,171.5,1900400,171.99000549316406,173.19000244140625,173.19000244140625
22:March:2018,1521725400,172.8300018310547,168.0,1644300,171.33999633789062,168.75999450683594,168.75999450683594
23:March:2018,1521811800,169.3000030517578,164.52000427246094,2005900,168.97999572753906,164.77000427246094,164.77000427246094
26:March:2018,1522071000,172.0399932861328,167.82000732421875,2042300,168.5500030517578,171.4499969482422,171.4499969482422
27:March:2018,1522157400,173.3800048828125,161.36000061035156,2038500,173.2100067138672,162.82000732421875,162.82000732421875
28:March:2018,1522243800,164.02000427246094,157.16000366210938,3078900,163.0,159.67999267578125,159.67999267578125
29:March:2018,1522330200,167.4600067138672,160.27000427246094,2261500,161.60000610351562,165.4499969482422,165.4499969482422
02:April:2018,1522675800,165.85000610351562,159.24000549316406,1900300,164.44000244140625,161.6199951171875,161.6199951171875
03:April:2018,1522762200,167.97000122070312,160.07000732421875,1817700,166.60000610351562,161.77000427246094,161.77000427246094
04:April:2018,1522848600,164.99000549316406,156.0,2060400,156.5,164.69000244140625,164.69000244140625
05:April:2018,1522935000,168.16000366210938,164.6199951171875,1762700,166.77999877929688,165.77000427246094,165.77000427246094
06:April:2018,1523021400,166.8800048828125,161.24000549316406,1177500,163.9600067138672,162.94000244140625,162.94000244140625
09:April:2018,1523280600,166.35000610351562,162.64999389648438,1237100,164.55999755859375,162.88999938964844,162.88999938964844
10:April:2018,1523367000,167.42999267578125,162.1300048828125,1774600,166.25,166.5800018310547,166.5800018310547
11:April:2018,1523453400,168.24000549316406,164.47000122070312,2252600,165.0800018310547,166.5,166.5
12:April:2018,1523539800,170.1699981689453,166.5399932861328,1554900,166.72999572753906,168.57000732421875,168.57000732421875
13:April:2018,1523626200,171.3000030517578,164.7899932861328,1342000,170.0800018310547,166.89999389648438,166.89999389648438
16:April:2018,1523885400,170.72000122070312,167.27000427246094,1245700,168.50999450683594,169.4499969482422,169.4499969482422
17:April:2018,1523971800,175.02999877929688,171.0,1700900,171.0,174.5399932861328,174.5399932861328
18:April:2018,1524058200,175.5399932861328,171.2100067138672,1658900,175.38999938964844,174.3000030517578,174.3000030517578
19:April:2018,1524144600,174.36000061035156,170.88999938964844,1525500,173.2899932861328,172.99000549316406,172.99000549316406
20:April:2018,1524231000,172.5500030517578,167.92999267578125,1861100,171.69000244140625,168.89999389648438,168.89999389648438
23:April:2018,1524490200,170.22999572753906,166.6199951171875,1926300,169.9199981689453,167.50999450683594,167.50999450683594
24:April:2018,1524576600,169.61000061035156,158.1699981689453,3176300,169.19000244140625,160.66000366210938,160.66000366210938
25:April:2018,1524663000,162.7899932861328,157.25,4104600,162.4499969482422,158.0,158.0
26:April:2018,1524749400,167.61000061035156,156.17999267578125,3801300,160.0,165.16000366210938,165.16000366210938
27:April:2018,1524835800,167.10000610351562,160.3699951171875,2240300,166.77999877929688,163.17999267578125,163.17999267578125
30:April:2018,1525095000,166.91000366210938,163.17999267578125,1890600,163.17999267578125,166.13999938964844,166.13999938964844
01:May:2018,1525181400,166.74000549316406,163.27000427246094,1419700,165.36000061035156,165.4199981689453,165.4199981689453
02:May:2018,1525267800,167.91000366210938,164.19000244140625,1253400,164.55999755859375,165.5,165.5
03:May:2018,1525354200,169.5399932861328,164.9199981689453,1945100,165.7899932861328,168.72999572753906,168.72999572753906
04:May:2018,1525440600,173.08999633789062,167.4600067138672,1842800,168.6999969482422,171.22000122070312,171.22000122070312
07:May:2018,1525699800,176.88999938964844,171.83999633789062,2163600,172.08999633789062,176.02000427246094,176.02000427246094
08:May:2018,1525786200,176.1300048828125,170.72999572753906,3157400,172.61000061035156,176.02999877929688,176.02999877929688
09:May:2018,1525872600,180.97999572753906,175.8300018310547,2229100,177.27000427246094,180.0399932861328,180.0399932861328
10:May:2018,1525959000,182.58999633789062,178.5399932861328,3081700,181.1300048828125,178.97999572753906,178.97999572753906
11:May:2018,1526045400,180.0399932861328,177.30999755859375,1527400,179.22000122070312,178.8699951171875,178.8699951171875
14:May:2018,1526304600,179.5,173.49000549316406,1806000,178.86000061035156,173.72999572753906,173.72999572753906
15:May:2018,1526391000,174.5500030517578,168.7899932861328,1749000,171.97999572753906,173.4199981689453,173.4199981689453
16:May:2018,1526477400,174.0,170.02000427246094,1606200,173.00999450683594,171.14999389648438,171.14999389648438
17:May:2018,1526563800,171.94000244140625,169.25,1444300,171.1300048828125,171.7100067138672,171.7100067138672
18:May:2018,1526650200,174.55999755859375,171.5,1190600,171.75999450683594,173.94000244140625,173.94000244140625
21:May:2018,1526909400,177.3699951171875,170.5800018310547,1083600,175.27000427246094,171.4499969482422,171.4499969482422
22:May:2018,1526995800,172.83999633789062,168.0800018310547,1192700,172.2100067138672,170.25999450683594,170.25999450683594
23:May:2018,1527082200,174.07000732421875,168.6999969482422,1232500,168.6999969482422,173.9600067138672,173.9600067138672
24:May:2018,1527168600,176.72000122070312,172.9199981689453,1551400,174.07000732421875,175.52000427246094,175.52000427246094
25:May:2018,1527255000,177.49000549316406,174.7100067138672,1341100,175.19000244140625,176.72000122070312,176.72000122070312
29:May:2018,1527600600,177.3800048828125,174.61000061035156,1407000,176.0,176.3000030517578,176.3000030517578
30:May:2018,1527687000,179.85000610351562,176.00999450683594,2221900,177.32000732421875,178.47000122070312,178.47000122070312
31:May:2018,1527773400,181.41000366210938,177.1999969482422,2002600,178.11000061035156,177.61000061035156,177.61000061035156
01:June:2018,1527859800,181.57000732421875,177.3000030517578,1276900,179.05999755859375,181.50999450683594,181.50999450683594
