FormatedTime,Time,High,Low,Volume,Open,Close,AdjClose
02:January:2018,1514903400,112.41999816894531,111.12999725341797,540600,111.2300033569336,112.38999938964844,99.95594024658203
03:January:2018,1514989800,113.69000244140625,112.55000305175781,506200,112.62999725341797,113.30999755859375,100.7741470336914
04:January:2018,1515076200,115.30000305175781,114.69999694824219,539300,114.77999877929688,115.05000305175781,102.32166290283203
05:January:2018,1515162600,116.5,115.36000061035156,475300,115.44999694824219,116.33000183105469,103.46004486083984
08:January:2018,1515421800,115.41999816894531,114.76000213623047,515400,115.08999633789062,114.80000305175781,102.09931182861328
09:January:2018,1515508200,114.45999908447266,113.44999694824219,515900,114.36000061035156,114.16000366210938,101.5301284790039
10:January:2018,1515594600,113.81999969482422,112.58999633789062,705800,113.63999938964844,112.87000274658203,100.38284301757812
11:January:2018,1515681000,110.6500015258789,109.37000274658203,2291200,110.54000091552734,109.63999938964844,97.51017761230469
12:January:2018,1515767400,110.62999725341797,109.51000213623047,1603200,109.83000183105469,110.12999725341797,97.94597625732422
16:January:2018,1516113000,112.37999725341797,110.44999694824219,927200,111.9800033569336,110.68000030517578,98.43511199951172
17:January:2018,1516199400,111.3499984741211,109.9000015258789,977100,110.08000183105469,111.19000244140625,98.88870239257812
18:January:2018,1516285800,112.18000030517578,111.08999633789062,898000,111.77999877929688,111.66999816894531,99.31559753417969
19:January:2018,1516372200,113.25,112.6500015258789,821900,113.08999633789062,113.19999694824219,100.67632293701172
22:January:2018,1516631400,112.79000091552734,111.80000305175781,671500,112.18000030517578,112.77999877929688,100.30278778076172
23:January:2018,1516717800,114.6500015258789,113.73999786376953,524600,114.0199966430664,114.2699966430664,101.62796020507812
24:January:2018,1516804200,115.33000183105469,114.02999877929688,562100,114.95999908447266,114.37000274658203,101.71688842773438
25:January:2018,1516890600,114.27999877929688,112.63999938964844,639000,114.16999816894531,112.83999633789062,100.35614776611328
26:January:2018,1516977000,114.58000183105469,113.66000366210938,1563000,113.83000183105469,114.54000091552734,101.86808013916016
29:January:2018,1517236200,114.1500015258789,112.87999725341797,1948500,113.72000122070312,113.54000091552734,100.97871398925781
30:January:2018,1517322600,113.1500015258789,110.19000244140625,6145800,112.9800033569336,110.80999755859375,98.55073547363281
31:January:2018,1517409000,113.41999816894531,111.97000122070312,5107400,112.3499984741211,113.25,100.72079467773438
01:February:2018,1517495400,112.55999755859375,111.36000061035156,1354200,112.22000122070312,111.6500015258789,99.29782104492188
02:February:2018,1517581800,110.8499984741211,108.97000122070312,1298000,110.8499984741211,109.1500015258789,97.07440185546875
05:February:2018,1517841000,108.94999694824219,105.4000015258789,1350600,107.77999877929688,105.87000274658203,94.15726470947266
06:February:2018,1517927400,108.4800033569336,104.66000366210938,1713100,104.93000030517578,108.36000061035156,96.37178802490234
07:February:2018,1518013800,106.62000274658203,104.83999633789062,1971700,105.80000305175781,105.08999633789062,93.46355438232422
